,CONCEPT,Ambai (Yapen) [amk],Araki [akr],As [asz],Bierebo (Yevali) [bnk],Biga (Misool) [xmt],Buli [bzq],Futuna-Aniwa (Aniwa) [fut],Gimán [gzn],Irarutu [irh],Kasira (Irahutu) [irh],Lelepa [lpa],Maskelynes [klv],Minyaifuin (Gebe) [gei],Numfor [bhw],Paama (Lironesa) [pma],Pulau (Arguni) [agf],Roria [rga],Vao [vao],Waropen [wrp],Windesi Wandamen [wad]
55,grass,afui,,kamayu,čumʷene,kai,wati,ŋafari,bibisá,samwin,sisine,na-mnau,naliœl,kamun,abris,oumunai,ricot,ⁿduβro,na-m̈oh,sia,samuen
56,green,kehe,,manis,memeña,bala,bisbis,,biru,-mat,məmatə,mlaksa,keskesan,hijau,mandumek,ouai,sasioror,lolmor,mop̈eroɣe,kakesio,kake
57,hair,nu-,βulu-ku,watupis,βiču-ᵑgu,pa,uta,fiyo ouru,kiklena,rguin fru,rogwin fru,na-lol-ŋu,na-βeru-ᵑk,kaliñun,snumburaïm,hilu-ku,aru-g...,βulu-,βulu-ku,sina,runandau
58,hand,waraŋ,lolo-lim̈a-ku,-npa,čumo-ᵑgu,kanano,kakamo,rima,komu,fra,fra-,n-ar-ŋu,βela-ᵑk,kame,rwa,hi-k,ruma-,ⁿdisnio-,nim̈a-k,waha,vara
59,he/she,i,nia,ia,naŋa,num,i,eia,i,i,ia,nae,kai,ia,i,kei,i,hi,ɣini,i,andi
60,head,kamiai,paru-ku,-watuʔ,paru-ᵑgu,wu-,boboko,ouru,poi,rü,rogwine,n-pʷo-ŋu,ne-kaⁿdu-ᵑk,kutɔ,rwu,fatu-ku,aru-,ᵐbutu-,ᵐbatu-k,worai,ru
61,heavy,miraba,,masɔn,wurumiu,mason,tēbtēb,mafa,batona,rimn,riməne,mtan,melas,kapiatan,,meas,manaser,ᵐbiɣen,mo-roβ,maiwako,marabat
62,house,munu,ima,,iuma,[w]um,ebay,fare,um,rum,sa-nə,na-sumʷa,a-im,um,rum,eim,rume,ðoðono,ne-ime,ruma,anio
63,how?,fiani,,,seβe,anapɛnɛ,laisawa,ropenpenapakuo,pei hapuí,fnano,bənaneno,ekua,,lewa,rariso,mukaβe,surie,,,,tane
64,husband,muaŋ,rua,-man,kʷo-ᵑgu,wa-man,uattā,takau,lagai,wa-,mərane,mark,asoa-n,man,swa[ri],asu-k,[i]maran,ᵐblantamlus,tem̈e natu-k,mano,sawa(n)
65,if,,,,βere,,gabe,tape,co,,,wan,,,bo|ma,naman,,,,aŋga,
66,"in, inside",rorompu,,nulum,čuma,malaman,mul,watakoro,liló,garn,gane,apʷaŋ,,i-lalɔ,do,en,ramo,,,we,raro
67,intestines,enembuka,,-nipu ali,sine-ᵑgu,kasaiwono,hñai walwalo,ŋʷatakoro,gale-gale,fta-ntü,-fta- teni,na-marta-ŋu,nine-ᵑk,hñainora,sne|war[si],tino-k,sige-g umbum,tili-,tino-k,nana,sanèwai
68,lake,ruru,,,,,lanlan,roto,talaga,weto,sar were,,,,dokĕn,meterumrum,,tuᵐp,,rawi,ruru
69,leaf,rerau,řaxa,a|laun,čumasi,kamɔyɔ,ulú,raune,longku,-ro,[e]ro,no-ul,na-lute,ka|mun,rām,ouai,nane,moruⁿdaɣ,ro-ɣoine,rana,rau
70,left,wei,lim̈a marau-ku,pa-lpɛ,mʷeli,pelimi,balit,masui,abalit,trir,trire,mauri,ni-mair,palpal|ima,sār,moil,parambimbe,nara,mair,sio,sara
71,leg/foot,we,sari-ku,-ŋgɛtɛ,če-ᵑgu,k|ae-,fico,wae,we,fa,fa,ne-tu-ŋu,na-rie-ᵑk,kame pap,we,hi-k tanetan,[e]va-,maⁿdi-,karu-k,e,ai
72,lightning,kaiveva,βaxa,lɛu,ye-ᵐbiče,balyaban,lēmlēm,teptepeia,bebit,nffe,dene,na-fla,ne-kaᵐbil,lamlɛm,wewĕr,ahil,riripipit,maymay,na-v̈ile,merewa,kabiebar
73,liver,anteni,mapei-ku,-nitɛw,puri-ara,aipuo,yatay,ače,yocu,ti,-te,na-lkop-ŋu,ne-maᵐb,atai,ke|n,maleles ona-k,atane,ᵐbeᵐbe-,ᵐbeᵐbeu-k,niha-do-rana,vuvusa
74,long,dauroi,,kai,wuru-pieβi,malas,mlàŋa,palo,mlonga,mrro,mərəro,prau,e-ᵐbelaβ,malawas,kwaïn,taβeah,mbara...,ⁿdaraᵐp,mo-ᵐbaraβ,doro,aroi
75,louse,u|utu,huřu,u,koru,wut,ut,kutu,kut,ut,utə,kutu,na-xut,ut,uk,out,ut,ɣut,na-ɣut,ghui,[r]utu
76,man/male,muaŋ,řaču,-man,yœrumʷan,wa-man,mān,tane,maón,mran,məra-ne,na-nwai,nauluman,man,man,ami,mañañane,tamlus,na-mer,mano,mua[n]
77,meat/flesh,tarai-,,nuana,kunu-ᵐbu,dagim,wàŋat,kanori,wontu,fɪ-je,fie,na-pʷas,na-βisox,waŋat,kraf,husi,dagim,βisɣon,,ado,tarai
78,moon,embai,βitu,paiʔ,kuβario,pet,ŋa,mrama,pait,seba,seba,at-laŋ,na-xeᵐbati,pait,paik,aβati,purin,yeⁿdti,na-βule,wafa,sembai
79,mosquito,fikerari,moxu,gawɛʔ,namu,kamumus,mumis,namo,ninik,bnisr,dade-rɛ,patʳiki,ne-nam,nini,mumĕs,anam,asev,ntˢiŋi,namuɣe,rewori,kamumi[s]
80,mother,ai,řařna-ku,-niʔ,kañe-ᵑgu,nei,hñē,mama,mamu,-den,d|ena,titia-ŋ,ana-ᵑk,didi,sna[ri],nana,yai,rietpu-,tina-k,inai,awini
81,mouth,boro-,čiŋo-ku,-walu,ŋo-ᵑgu,samo-,smo,roŋotu,sumu,rimta,-rimeta-,na-ŋar-ŋu,na-ᵐbeŋo-ᵑk,kapio,sbā[ri],oŋo-k,efe-,βaβa-,βaβa-k,woro[do],sore
82,name,wono,hitˢa-ku,gasɛn,kiaᵑgu,-nanɔ,ŋasan,eiŋo,fsona,snan,nu,na-ŋin,na-xesa-ᵑk,ŋasn|ɔ-,snon-snon,iso-ku,gadin,noɣse-,m̈ehɣa-k,nasano,sano
